#   ID    NGCname   IAUname         WideImageURL    ZoomedImageURL    SDSSExploreURL   NSAURL
SAGA022   NGC0532   SDSSJ0005+091   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=1.42148&dec=9.26422&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=1.42148&dec=9.26422&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=1.42148&dec=9.26422&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=129533&submit_form=Submit
SAGA023   NGC1015   SDSSJ0017-011   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=2.63654&dec=-1.31876&scale=14.06250&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=2.63654&dec=-1.31876&scale=0.7031250&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=2.63654&dec=-1.31876&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=132339&submit_form=Submit
SAGA024   NGC1309   SDSSJ0013-152   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=3.36849&dec=-15.3999&scale=14.06250&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=3.36849&dec=-15.3999&scale=0.7031250&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=3.36849&dec=-15.3999&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=133355&submit_form=Submit
SAGA025   NGC1666   SDSSJ0018-063   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=4.80912&dec=-6.57005&scale=14.06250&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=4.80912&dec=-6.57005&scale=0.7031250&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=4.80912&dec=-6.57005&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=133953&submit_form=Submit
SAGA026   NGC1924   SDSSJ0023-051   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=5.46722&dec=-5.31074&scale=14.06250&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=5.46722&dec=-5.31074&scale=0.7031250&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=5.46722&dec=-5.31074&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=134212&submit_form=Submit
SAGA027   NGC2481   SDSSJ0031+234   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=7.95382&dec=23.7678&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=7.95382&dec=23.7678&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=7.95382&dec=23.7678&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=134737&submit_form=Submit
SAGA028   NGC2648   SDSSJ0035+141   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=8.71106&dec=14.2856&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=8.71106&dec=14.2856&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=8.71106&dec=14.2856&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=135440&submit_form=Submit
SAGA029   NGC3415   SDSSJ0043+434   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=10.8618&dec=43.7126&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=10.8618&dec=43.7126&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=10.8618&dec=43.7126&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=138217&submit_form=Submit
SAGA030   NGC3689   SDSSJ0042+253   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=11.4697&dec=25.6612&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=11.4697&dec=25.6612&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=11.4697&dec=25.6612&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=139467&submit_form=Submit
SAGA031   NGC3762   SDSSJ0049+614   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=11.6233&dec=61.7594&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=11.6233&dec=61.7594&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=11.6233&dec=61.7594&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=139920&submit_form=Submit
