RA,Dec,PGC#,NSAID,othername,vhelio,vhelio_err,distance,i,z,I,K
3.43343595465,0.371795334763,,5720,,3915.5012207,122.500190735,57.0656765143,18.3456089056,18.3251153982,,
7.32026088409,-1.00674132871,,5804,,3971.07104492,122.500190735,57.8837654453,16.9767777105,17.0397202154,,12.318
10.3492957887,-0.064959653819,,5921,,3933.88427734,117.500183105,57.336308559,16.195207649,16.0931339796,,
13.2364465155,-1.17442649455,,5975,,191.976470947,82.5001296997,2.77396191937,9.8560740684,10.179119799,,
18.0323246164,-1.00069942686,,6346,,3713.40893555,105.000160217,54.0905103363,16.5427225518,16.4462812829,,14.417
20.5030660932,0.2701316769,,6731,,3753.00732422,105.000160217,54.6734706734,16.906101618,16.8414253332,,13.559
28.9990185035,-0.185560248901,,6949,,3585.25732422,122.500190735,52.2040979895,16.9801455243,16.9019251569,,
32.6382799633,0.738156833359,,7150,,3451.4519043,127.500205994,50.2413210789,15.6023358922,15.4428109746,,12.57
45.7491953391,-1.08180727648,,7700,,3900.52490234,200.000320435,56.8451978561,15.2518376713,15.1747788792,,13.855
45.5473487935,-1.16667566265,,7705,,3933.55957031,205.000320435,57.3315282807,18.0299970743,17.9486124155,,
46.2415173406,0.953935441211,,7753,,3501.24169922,147.500244141,50.9716820756,17.8090885995,17.7117556451,,13.855
46.6958690018,0.469128701904,,7838,,766.628479004,130.000198364,11.0818221922,17.8850460538,17.6978188047,,12.876
8.85138395172,14.7953152035,,8287,,258.031951904,92.5001449585,3.72885210174,15.6945094732,15.4506883291,,14.042
14.9326661643,14.5677585674,,8411,,102.696434021,55.000087738,1.48334031602,14.9633559885,14.6078986826,,13.38
20.7632864651,15.2115744706,,8715,,3975.54589844,132.500213623,57.9496434318,17.8054977521,17.7377620801,,
23.4689744363,13.7026443009,,8841,,2755.99169922,190.000305176,40.0462752135,18.9281834869,19.3797625808,,
24.5012800145,14.982832851,,8844,,776.227600098,115.000175476,11.221098973,16.623279153,16.5570521938,,
30.0080684314,12.5384086333,,8910,,3453.42919922,117.500183105,50.2703257995,17.715034566,17.8489447451,,
25.5310278531,13.2932719171,,9078,,815.927246094,115.000175476,11.7971140934,16.9652669902,16.972678947,,
114.807304361,37.6768739387,,9209,,3898.20678711,162.500259399,56.8110709817,17.6216941489,17.8168740882,,
114.966684955,37.8210369424,,9234,,3901.99780273,165.000259399,56.8668816301,18.1260579332,18.0425618395,,
123.164768776,48.6129440545,,9785,,803.910339355,140.000228882,11.6227568716,17.4575672656,17.3448725253,,
