RA,Dec,PGC#,NSAID,othername,vhelio,distance,r,i,z,I,K,K_err
176.930490002,59.4285925233,36807,37425,PGC036807,3328.5,48.1166152954,16.2413226849,15.9895927197,15.8513767011,15.43,12.917,0.106
177.005770673,49.8090799106,36825,140267,UGC06773,924.001403809,17.5875434875,14.3404725615,14.2272027556,14.4939588133,13.14,,
177.0042,-10.96194,36827,,g1148010-105743,1727.0,,,,,10.12,8.344,0.03
177.0471,54.99179,36836,,UGC06774,2419.0,,,,,14.51,12.232,0.076
177.029072269,59.8767948702,36845,124565,PGC036845,3131.45361328,45.8639755249,16.1300151165,15.8758342083,15.6496016796,15.37,13.553,0.175
177.053346773,13.2094040039,36849,169812,UGC06775,3149.41455078,46.9315567017,14.5814706884,14.3877851568,14.2796060644,14.19,12.769,0.129
177.083830293,12.7165811898,36853,170278,PGC036853,3969.00610352,62.2038345337,14.9100743279,14.5438099846,14.3194371209,14.02,11.772,0.061
177.096888502,59.4301597138,36862,37418,PGC036862,3207.82348633,46.7292785645,15.2841350323,14.9160396344,14.6629077679,14.32,11.863,0.07
177.150165813,43.72295916,36868,55700,UGC06776,737.837097168,15.1030664444,15.5734300658,15.3428649947,15.2222204253,,13.07,0.135
177.14325,-25.95272,36872,,ESO504-016,3155.0,,,,,,12.48,0.149
177.159006578,48.710966308,36875,140283,NGC_3893,967.001464844,18.2228889465,11.547617774,11.2909496832,11.0895565558,9.69,7.883,0.021
177.19035,-28.29342,36882,,ESO440-011,1934.0,,,,,11.32,13.654,0.231
177.142208626,59.2424363285,36883,124528,PGC036883,3275.49291992,47.4979934692,16.6199199726,16.3181430866,16.0989486744,15.89,,
177.18334966,14.0528739329,36884,170280,PGC036884,3187.26293945,47.6439323425,15.2003292865,14.8756947345,14.6933483905,14.33,12.276,0.098
177.19305,-27.37907,36885,,g1148464-272245,1886.0,,,,,13.08,11.467,0.089
177.210046931,-2.0322858633,36887,3288,UGC06780,1716.92736816,26.442363739,14.1770245229,13.9706532155,13.8871742879,13.83,13.094,0.214
177.205386131,60.1959520542,36888,140287,SBS_1146+604,3508.00537109,50.1880073547,13.8012957396,13.5939955534,13.4260439695,14.13,11.01,0.048
177.209738656,59.4157448329,36889,140289,NGC_3894,3223.00512695,46.900592804,11.9606432472,11.5318884407,11.1937555824,,8.544,0.015
177.21585,-37.5116,36890,,ESO378-023,2933.0,,,,,14.89,10.27,0.049
177.2286,-4.68188,36895,,NGC3915,2611.0,,,,,13.53,11.747,0.116
177.239233611,23.8374644601,36896,140294,UGC06782,522.0,11.6189880371,15.0332237249,14.817269898,14.6705347067,15.87,13.193,0.107
177.234414924,48.6750111285,36897,140293,NGC3896,905.001403809,17.3377094269,14.4478310674,14.3543786138,14.2959183782,12.46,11.648,0.077
177.24345,-28.44465,36900,,ESO440-012,1536.0,,,,,14.56,,
177.2286,-30.17356,36904,,A114623.2-295343,1626.0,,,,,12.51,10.816,0.059
177.2646,-37.51714,36906,,g1149035-373102,2973.0,,,,,11.92,10.239,0.055
177.266773165,59.4327647755,36907,124530,11490403+5925576,3211.13623047,46.7621002197,12.8933180794,12.4949244484,12.2558821663,12.27,9.785,0.027
177.289432823,27.0220371962,36914,140301,NGC_3900,1798.00280762,28.2770519257,11.7575921708,11.4054670029,11.1582421952,10.41,8.693,0.02
177.30495,-29.27681,36918,,g1149132-291636,1576.0,,,,,9.66,7.655,0.018
177.313473535,56.0845904892,36921,140303,NGC_3898,1176.00195312,21.5180435181,10.9652109595,10.5749235602,10.3031549902,9.49,7.648,0.016
177.328166851,26.1215782603,36923,160608,11491875+2607177,3595.5144043,55.7602310181,13.4983998606,13.213049061,13.0017415354,12.51,10.864,0.055
177.349912733,16.6420125609,36929,113768,UGC06794,3452.77954102,52.9225120544,14.6491680576,14.4898720218,14.373451276,14.0,12.044,0.091
177.346831868,39.7712482703,36930,86420,UGC06792,849.826171875,16.6532688141,14.3714516247,14.1785423839,14.0504582012,13.14,11.959,0.086
177.348303087,26.7416474578,36932,160613,11492361+2644296,1834.43017578,28.763381958,14.6366546525,14.3294437303,14.1565997972,13.6,11.316,0.074
177.35235,-5.11842,36933,,g1149246-050706,1668.0,,,,,12.71,11.048,0.084
177.35835,-38.82583,36935,,g1149261-384933,2985.0,,,,,12.81,11.112,0.089
177.376529253,24.1437067654,36942,113553,PGC036942,3634.88769531,56.833984375,17.7217881526,17.7516915645,17.84775041,16.87,13.913,0.199
177.421153609,48.4261083083,36953,140310,NGC_3906,961.001525879,18.1363449097,13.4755968089,13.2630075449,13.1396230692,12.98,11.007,0.083
177.4596,-38.78444,36964,,g1149503-384704,2808.0,,,,,10.89,8.643,0.024
177.527345446,51.8559184212,36973,140320,UGC06802,1256.00195312,22.7847633362,15.1397164452,14.9074986565,14.7907727349,13.93,12.41,0.115
177.511409034,15.023201104,36976,170283,PGC036976,733.820129395,14.380657196,15.3801889111,15.8754272152,15.9135837246,,13.475,0.148
177.518568227,26.4792599987,36979,160627,11500445+2628452,1791.00268555,28.1240234375,13.2018596528,12.9367572663,12.7030422089,12.51,9.944,0.028
177.524717814,24.9200106551,36981,113969,NGC_3920,3588.22949219,55.7690124512,13.8719603457,13.6558405794,13.501869861,13.16,10.904,0.049
177.5355,-49.61814,36987,,ESO217-009,3409.0,,,,,13.43,12.018,0.109
177.5487,-28.51141,36989,,ESO440-015,1827.0,,,,,16.16,12.465,0.151
177.551230828,42.0744677967,36990,60236,11501228+4204281,1158.9777832,20.8790721893,14.692637858,14.5878443094,14.4076818796,13.73,11.461,0.054
177.551950119,45.478764572,36991,55715,PGC036991,3179.35351562,45.567237854,15.947407806,15.7964812161,15.6700526119,15.02,13.131,0.144
177.58411394,25.9619276273,36996,160632,UGC06806,3759.1496582,59.167678833,14.5658650891,14.4583650128,14.3459954754,13.94,11.71,0.068
177.5826,-28.54197,36997,,ESO440-016,2123.0,,,,,16.0,11.651,0.108
177.58575,-75.3709,37000,,ESO039-002,1823.0,,,,,12.71,13.108,0.133
177.603,-38.6491,37005,,ESO320-027,2804.0,,,,,14.46,12.471,0.129
177.65205,-12.4677,37007,,PGC037007,1276.0,,,,,13.9,13.598,0.229
177.6324,-4.83586,37008,,IC_0741,3355.0,,,,,12.54,10.406,0.039
